ranking,name
1,Machine Gun Kelly
2,Ed Sheeran
3,Lil Durk
4,Doja Cat
5,The Weeknd
1,Stray Kids
2,Lil Durk
3,Doja Cat
4,Ed Sheeran
5,The Weeknd
1,Lil Durk
2,Ghost
3,Ed Sheeran
4,The Weeknd
5,Doja Cat
1,The Weeknd
2,Ed Sheeran
3,Doja Cat
4,Adele
5,Drake
